text,language,label
정부가 내년도 최저임금을 시간당 만 원으로 인상하기로 결정했다.,Korean,0
한국은행이 기준금리를 0.25%포인트 인하한다고 발표했다.,Korean,0
서울시가 대중교통 요금을 다음 달부터 조정한다고 밝혔다.,Korean,0
기상청은 이번 주말 전국에 비가 내릴 것으로 예보했다.,Korean,0
국내 연구진이 새로운 배터리 기술을 개발해 국제 학술지에 발표했다.,Korean,0
보건복지부가 독감 예방접종을 무료로 확대 실시한다고 발표했다.,Korean,0
교육부가 올해 대학수학능력시험 일정을 공식 발표했다.,Korean,0
삼성전자가 3분기 실적을 발표하며 매출이 전년 대비 증가했다고 밝혔다.,Korean,0
국토교통부가 수도권 광역철도 신규 노선 계획을 공개했다.,Korean,0
환경부가 미세먼지 저감을 위한 종합 대책을 내놓았다.,Korean,0
대통령은 오늘 국무회의에서 경제 활성화 방안을 논의했다.,Korean,0
질병관리청이 올해 첫 인플루엔자 유행주의보를 발령했다.,Korean,0
한국 축구 국가대표팀이 월드컵 예선에서 승리를 거뒀다.,Korean,0
국회가 내년도 예산안을 본회의에서 통과시켰다.,Korean,0
부산항의 컨테이너 물동량이 작년보다 소폭 증가한 것으로 집계됐다.,Korean,0
문화체육관광부가 국내 관광 활성화를 위한 지원 사업을 발표했다.,Korean,0
서울대 연구팀이 신약 후보 물질의 임상 시험 결과를 공개했다.,Korean,0
중소벤처기업부가 소상공인 지원 자금을 추가 편성했다고 밝혔다.,Korean,0
농림축산식품부가 쌀 수급 안정을 위한 대책을 시행한다.,Korean,0
한국전력이 전기 요금 체계 개편안을 검토 중이라고 밝혔다.,Korean,0
과학기술정보통신부가 5G 통신망 확충 계획을 발표했다.,Korean,0
인천국제공항의 이용객 수가 코로나 이전 수준을 회복했다.,Korean,0
통계청이 발표한 지난달 소비자물가지수가 소폭 상승했다.,Korean,0
국립중앙박물관이 새로운 특별 전시회를 다음 달 개최한다.,Korean,0
충격! 정부가 모든 국민에게 비밀리에 현금 1억 원을 지급한다고 한다.,Korean,1
속보: 달에서 외계인이 건설한 고대 도시가 발견되었다고 밝혀졌다.,Korean,1
특정 과일을 먹으면 암이 하루 만에 완치된다는 사실이 밝혀졌다.,Korean,1
유명 연예인이 사실 외계인이라는 충격적인 폭로가 나왔다.,Korean,1
정부가 내일부터 인터넷을 영구 차단한다고 비밀 문서에서 드러났다.,Korean,1
한 남성이 복권에 백 번 연속 당첨됐다는 믿기 힘든 소식이 전해졌다.,Korean,1
물을 거꾸로 마시면 시력이 완벽하게 회복된다는 연구가 발표됐다.,Korean,1
특정 백신에 위치 추적 칩이 들어 있다는 주장이 확산되고 있다.,Korean,1
5G 전파가 사람의 생각을 조종한다는 사실이 폭로되었다.,Korean,1
지구가 사실은 평평하며 정부가 이를 숨기고 있다고 한다.,Korean,1
한 마을 주민 전체가 하룻밤 사이에 100살씩 젊어졌다고 한다.,Korean,1
유명 기업 회장이 전 재산을 길고양이에게 상속했다는 소식이다.,Korean,1
특정 음료를 마시면 하늘을 날 수 있게 된다는 광고가 등장했다.,Korean,1
과학자들이 시간 여행 기계를 완성했다고 익명으로 제보했다.,Korean,1
휴대폰을 전자레인지에 넣으면 배터리가 무한 충전된다고 한다.,Korean,1
정부가 국민 몰래 하늘 색을 바꾸는 실험을 한다는 주장이 나왔다.,Korean,1
한 학생이 시험 도중 갑자기 투명인간이 되었다는 소문이 돌고 있다.,Korean,1
바닷물을 한 컵 마시면 모든 질병이 사라진다는 비법이 공개됐다.,Korean,1
특정 앱을 설치하면 통장에 매일 돈이 저절로 쌓인다고 한다.,Korean,1
전국의 모든 도로가 내일부터 무료 자율주행으로 바뀐다고 한다.,Korean,1
유명 산이 하룻밤 사이에 위치를 옮겼다는 황당한 보도가 나왔다.,Korean,1
달걀을 베개 밑에 두고 자면 복권에 당첨된다는 미신이 퍼지고 있다.,Korean,1
정부가 공기 사용료를 부과하기로 했다는 가짜 공지가 돌고 있다.,Korean,1
한 회사가 죽은 사람을 되살리는 알약을 출시했다고 광고했다.,Korean,1
