text,language,label
政府宣布明年将上调最低工资标准。,Chinese,0
中央银行决定下调基准利率0.25个百分点。,Chinese,0
气象部门预报本周末全国大部分地区将有降雨。,Chinese,0
国内科研团队研发出新型电池技术并发表于国际期刊。,Chinese,0
统计部门公布上月居民消费价格指数小幅上涨。,Chinese,0
铁路部门宣布将扩建多条城际铁路线路。,Chinese,0
卫生部门启动今年的流感免费疫苗接种计划。,Chinese,0
立法机构通过了一项促进可再生能源发展的法案。,Chinese,0
国家足球队在世界杯预选赛中取得胜利。,Chinese,0
一家汽车制造商公布第三季度销量同比增长。,Chinese,0
某市公布改善城市公共交通的新措施。,Chinese,0
环境部门发布了关于城市空气质量的最新报告。,Chinese,0
一所知名大学新建了一个医学研究中心。,Chinese,0
经济部门推出面向小微企业的扶持计划。,Chinese,0
消防部门迅速控制了一处仓库发生的火情。,Chinese,0
教育部门宣布将向学校增拨专项资金。,Chinese,0
科研小组展示了在电池技术方面取得的新进展。,Chinese,0
通信管理部门通报了移动网络的扩建进展。,Chinese,0
某国际机场客流量已恢复至疫情前水平。,Chinese,0
疾病预防机构发布了今年的流感监测数据。,Chinese,0
政府计划加大对充电基础设施建设的投资。,Chinese,0
一座博物馆宣布下月将举办新的特别展览。,Chinese,0
农业部门出台了多项稳定粮食生产的措施。,Chinese,0
行业协会公布零售业销售额保持稳定。,Chinese,0
震惊！政府将秘密向每位公民发放一百万元现金。,Chinese,1
突发：科学家在月球上发现了外星人建造的古城。,Chinese,1
研究证实：吃某种水果一夜之间就能治愈癌症。,Chinese,1
惊人爆料：某知名明星其实是外星人。,Chinese,1
机密文件显示：互联网将于明天被永久关闭。,Chinese,1
一名男子据称连续一百次中得彩票头奖。,Chinese,1
有研究称：倒着喝水可以让视力完全恢复。,Chinese,1
传言称某些疫苗中暗藏定位芯片。,Chinese,1
内幕曝光：5G信号能够操控人的思想。,Chinese,1
有人声称地球其实是平的而政府一直在隐瞒。,Chinese,1
据称某村庄全体居民一夜之间年轻了五十岁。,Chinese,1
某企业董事长据说把全部财产留给了流浪猫。,Chinese,1
一款新饮料宣称喝下后人就能飞起来。,Chinese,1
匿名消息称科学家已经造出可用的时间机器。,Chinese,1
据说把手机放进微波炉就能无限充电。,Chinese,1
有传言称政府正秘密做实验改变天空的颜色。,Chinese,1
一名学生据称在考试时突然变成了隐形人。,Chinese,1
据称喝一杯海水就能让所有疾病消失。,Chinese,1
有广告称安装某款应用银行卡每天会自动多出钱。,Chinese,1
据传明天起全国所有道路都将免费变为自动驾驶。,Chinese,1
一座知名山峰据称一夜之间挪动了位置。,Chinese,1
迷信流传：把鸡蛋放在枕头下睡觉就能中彩票。,Chinese,1
一则假通知称政府将开始对呼吸的空气收费。,Chinese,1
某公司声称推出了能让死者复活的药丸。,Chinese,1
